,Return,Volatility,VGSH,AAPL,VTI
453,0.047483100222542846,0.05200088782069393,0.7439921379451364,0.006304698622051648,0.24970316343281193
1592,0.06086116775066903,0.05260711741260387,0.7682489822130952,0.08212816024269956,0.14962285754420515
1876,0.05149982814802462,0.052608568526747466,0.7459555587261871,0.026182445127745323,0.22786199614606756
1570,0.05757140814132161,0.05267943148523092,0.7579641045011505,0.06113733372503201,0.18089856177381747
2054,0.06950780837729092,0.053222416560500495,0.8066629631497262,0.14347856630975056,0.04985847054052313
2413,0.059456970104783416,0.05430532916441081,0.7526811274230015,0.06709996758926048,0.180218904987738
546,0.07388598436615297,0.05512289301707913,0.8235162653570629,0.17313285583552976,0.0033508788074073045
1832,0.07219080151718714,0.05548750437425769,0.8027631789050494,0.15392679952402388,0.043310021570926734
1942,0.05188193926661446,0.0557266546164739,0.7293790566601696,0.01897259065782771,0.2516483526820027
43,0.05931876847637425,0.05580804069490677,0.7428696422521497,0.061126041703965205,0.196004316043885
761,0.06030967492067196,0.05619318393456364,0.7429898485143079,0.06583207801502307,0.1911780734706691
2743,0.06838987355658802,0.056834966145131165,0.767073078547166,0.11674943299406156,0.1161774884587726
454,0.07465692196393749,0.05765323930243415,0.7984362726488407,0.16312745336947912,0.038436273981680216
2261,0.06141963448783303,0.058371655489858766,0.7322160363353535,0.06518129647160137,0.20260266719304507
1220,0.05278214376261566,0.05994077130985568,0.7079049614716014,0.011530242037309086,0.28056479649108934
1174,0.07520953199505179,0.06001312572192141,0.7773979515198384,0.15429377588588036,0.06830827259428131
1644,0.07737393738842478,0.06125526840012119,0.7801112009789918,0.16590350447561691,0.05398529454539132
2732,0.05278715228614933,0.06173702488493051,0.6984420670623656,0.0064162721989806425,0.2951416607386539
647,0.07572925886742093,0.062324327514621726,0.7588363556145118,0.14665071425792112,0.09451293012756712
2729,0.06542763640126704,0.06241769867525361,0.7172744014393464,0.07584038327361546,0.20688521528703824
2512,0.05405389126766792,0.06321348947721814,0.6920501444085855,0.008878683441105902,0.29907117215030865
1489,0.07395103537368236,0.06333430025847488,0.741147347783581,0.1287192434883078,0.13013340872811124
13,0.07995233011741525,0.06387186566111638,0.771650105254292,0.17338550961530186,0.054964385130406114
2455,0.05616465283142974,0.06390252895332964,0.6908924523246298,0.018135635585784488,0.29097191208958567
1348,0.07286913360191263,0.06396765323701846,0.7315550876115244,0.1184446435980247,0.1500002687904509
1628,0.06138539238572486,0.06414543668068683,0.6977303243153123,0.046298557893514995,0.25597111779117265
1501,0.0773525247741449,0.06515577257818633,0.7430268682331428,0.14567005405021036,0.11130307771664685
2712,0.058571033085277974,0.06575136239116254,0.6841399415564624,0.025739638207763184,0.2901204202357744
1820,0.07863842443091572,0.06592393795311571,0.7433672412159227,0.15187718010567228,0.104755578678405
2151,0.07980137562729078,0.06615704776564374,0.7480138238736591,0.15984634458871733,0.09213983153762355
2747,0.06917968452154685,0.06617213792176192,0.7036813611103365,0.08603290018007836,0.21028573870958517
764,0.08559795295287723,0.06726131393323939,0.7810190132529631,0.20491242031819326,0.014068566428843611
2070,0.05682814556648137,0.06757219584321814,0.6721787754107246,0.011083316774775923,0.3167379078144995
957,0.06988906389893304,0.06823778046159751,0.6924556305083664,0.0832607080727677,0.22428366141886583
1411,0.08245857466933079,0.06825026621215453,0.7449009213042496,0.17060097446561637,0.08449810423013408
2389,0.06266038059449802,0.06872740527159849,0.6740108768008924,0.03939245119859898,0.28659667200050853
1645,0.08565518362441309,0.0690809135601223,0.7593809928348045,0.19343312264103524,0.04718588452416034
212,0.08338466207319226,0.0692222838595753,0.7415454584968078,0.17311649105759316,0.085338050445599
1095,0.06356620119571857,0.06944334848247496,0.6715232360643696,0.04228419351355593,0.28619257042207447
