,Return,Volatility,BND,VCIT,VOO,VGIT
50,0.062014677231129106,0.06730981283412651,0.19865622601830035,0.1965982992267666,0.28799073699886846,0.31675473775606466
789,0.0604533590395155,0.06731587198786493,0.41475985245297303,0.052883169994569,0.28378916059738546,0.2485678169550724
2914,0.062195001344329495,0.06733524961843772,0.23129335117963395,0.1277533358739252,0.29682339017218967,0.3441299227742511
995,0.06311118388208116,0.06737054666490076,0.17690890459109063,0.08223111391120967,0.31252700382571147,0.42833297767198825
1033,0.0573601531557169,0.06737309526885063,0.3116006647955247,0.4382291406533946,0.21291173928755674,0.03725845526352392
1327,0.060673110179351335,0.067374672304326,0.23231844740657004,0.2919311121983139,0.26316806168516427,0.2125823787099516
503,0.0627364815942735,0.06740161719558542,0.12645486881256568,0.21605091842912108,0.29466862214896256,0.36282559060935066
1099,0.06226722726223786,0.06745699077330654,0.11353617158571004,0.2883831369815336,0.2821193331193159,0.3159613583134405
2780,0.05942112627223916,0.06745868111673689,0.28534368981230357,0.33558294749135026,0.24475646552478603,0.1343168971715601
1255,0.05906529543436098,0.0674754814901562,0.1850762162064813,0.46563036023292814,0.22934744327804735,0.11994598028254327
1320,0.06351133895505745,0.06749239561006289,0.17715979094924378,0.016631515139687185,0.32410104885008817,0.48210764506098086
817,0.06144770473371915,0.06751347910759446,0.23091268482721117,0.2283169257261265,0.2778898380600651,0.26288055138659727
277,0.06045777204271648,0.06754250508531472,0.3901426946237252,0.10922645360170354,0.2778356928175002,0.22279515895707097
2430,0.06148406040270718,0.06754378221493897,0.36441296339878665,0.01770978475936763,0.2990978032674114,0.31877944857443435
2394,0.05908065763581646,0.06755915499527888,0.269777674226323,0.3817215669070981,0.23665337682428997,0.11184738204228896
768,0.05715019869841051,0.067565249676279,0.3502517455681578,0.41849933016824203,0.2120457339974487,0.01920319026615148
295,0.061687121453756065,0.06756880480558021,0.20483847173775957,0.24102336142352315,0.27941746630753417,0.2747207005311831
1388,0.060978264142176206,0.06765925648528968,0.22967322282135683,0.2835788164292014,0.26700028081570504,0.2197476799337366
2528,0.057463023983954545,0.06766827686220787,0.488058442675376,0.24682263736698828,0.23079297461578058,0.034325945341855235
2386,0.0629736681714514,0.06772801475338151,0.18413492538497145,0.12464879469346982,0.305851263536528,0.3853650163850306
1120,0.06355161437931194,0.06772965254172487,0.14465721083020522,0.09832458486614264,0.3156537352965277,0.4413644690071244
2288,0.06293094437625406,0.06773840208407698,0.14239099215802364,0.19422061283527065,0.2984861844844675,0.36490221052223815
1680,0.0625134294470009,0.06775505916018158,0.038626377843874835,0.3669246193583221,0.2774384032511089,0.317010599546694
1031,0.061543339333509105,0.06778282440480277,0.24829109224242474,0.21207795388260298,0.2800918195196162,0.25953913435535625
1826,0.06261548072392067,0.06782115596326906,0.10721292818489898,0.2823376615669836,0.28618706190963483,0.32426234833848255
949,0.06201517303769162,0.06782157373988167,0.0826310401182265,0.3682531625238528,0.27123683089497064,0.27787896646295007
2765,0.058531653548698506,0.0678251632952597,0.20852304860776466,0.48973459723226087,0.220796280139484,0.08094607402049038
2531,0.060822396939126014,0.06784062400050286,0.12969922382737745,0.4166652967557753,0.25298715331124794,0.2006483261055993
2722,0.059402498967200595,0.06788051944098915,0.32944345798547797,0.30659012986913736,0.24652603331269626,0.11744037883268835
278,0.05990402382889137,0.06792582603476578,0.09603430998775199,0.5160031129133278,0.23389821111545014,0.15406436598347006
13,0.06052877737512269,0.06799599737442441,0.0652382309396412,0.5069682747344785,0.24168483956433262,0.18610865476154778
1282,0.05919823714825824,0.06801076458350258,0.1400997193247839,0.5220718375261243,0.2252689143336179,0.1125595288154739
2792,0.05955615524793043,0.06801572885319822,0.3177054902524968,0.3152338102550064,0.24726411469234008,0.11979658480015681
756,0.06345832041232151,0.06802402250708808,0.05159419212179345,0.2702794565082471,0.29719002865346655,0.38093632271649297
162,0.06346480067394021,0.06802444813857235,0.11988351307553369,0.17737270416742826,0.30611730513455876,0.3966264776224793
1393,0.06387479415714054,0.06802632869043539,0.04151517248278675,0.23144557608447142,0.30601252873359996,0.4210267226991419
2536,0.06186392799790678,0.06804755378682156,0.3103152822024513,0.10118586817242876,0.29424157189828254,0.29425727772683735
2091,0.05863635589111147,0.06807887634980347,0.3103456684897825,0.3909819939529277,0.23008695211265268,0.06858538544463715
274,0.06188876617099386,0.06808304837634364,0.24292709185025346,0.20148820602560077,0.28465523758212136,0.2709294645420245
174,0.06395480471661562,0.06808939362010201,0.13491330015296632,0.07940252276877818,0.32191015033776904,0.46377402674048646
776,0.05935497196598077,0.06812497251186404,0.21096046002972707,0.44916976614452825,0.23299145645888455,0.10687831736686013
