,Return,Volatility,AAPL,VTI
188,0.2521820948671852,0.262379868095144,0.5610698225688933,0.43893017743110674
41,0.25218368110316597,0.26238083187174993,0.5610772514899537,0.43892274851004626
1887,0.2523387981639412,0.2624751084656956,0.5618037212041563,0.4381962787958436
2804,0.2523394508833977,0.262475505296803,0.5618067781271965,0.4381932218728035
2958,0.25235125134880393,0.2624826797541826,0.561862044006322,0.43813795599367794
64,0.25241156052239844,0.26251935184476566,0.5621444938405699,0.43785550615943025
455,0.2524331075548903,0.2625324560452453,0.5622454064446254,0.4377545935553746
1971,0.25247914994898585,0.2625604612898428,0.5624610397522233,0.4375389602477767
977,0.25249801072774286,0.2625719348226851,0.5625493716512727,0.4374506283487272
1647,0.25250058492179756,0.26257350084280917,0.5625614275399664,0.43743857246003365
1590,0.25252428533902005,0.2625879198293657,0.5626724252293249,0.4373275747706751
1759,0.2525952848655927,0.2626311230327416,0.5630049418817161,0.43699505811828376
479,0.25260883596278966,0.262639370259113,0.5630684066073792,0.43693159339262083
1384,0.25263008224777633,0.2626523016867281,0.5631679107012878,0.4368320892987121
2035,0.2527265684037969,0.26271104115119276,0.5636197905257151,0.4363802094742848
978,0.2527797745635689,0.26274344196138183,0.5638689743581716,0.43613102564182843
1484,0.25278617611675896,0.2627473407585677,0.5638989551642359,0.436101044835764
2686,0.2527908930507135,0.26275021361982986,0.5639210462846115,0.43607895371538863
309,0.25280884718272306,0.26276114912344245,0.5640051320265962,0.4359948679734037
2377,0.2528147473234566,0.26276474295135827,0.5640327645354318,0.4359672354645683
1339,0.25283124867498785,0.26277479451676006,0.5641100463771,0.4358899536228999
2546,0.2528591436752749,0.262791787857232,0.5642406888272916,0.4357593111727084
1601,0.2528718860908477,0.2627995510275337,0.5643003662022571,0.4356996337977429
1760,0.25292490747348695,0.2628318579028154,0.5645486846560754,0.43545131534392456
1588,0.2529260472824501,0.26283255248324244,0.5645540227967518,0.4354459772032482
2448,0.2529637036626434,0.2628555014104931,0.5647303813457097,0.4352696186542903
300,0.252976898766502,0.2628635437116244,0.5647921788248594,0.4352078211751405
2371,0.25303733598180533,0.2629003850343266,0.5650752283250831,0.434924771674917
709,0.2530650099985119,0.26291725750281786,0.5652048358286499,0.4347951641713501
731,0.25306855538279555,0.2629194192083824,0.5652214401550495,0.43477855984495045
2935,0.25309932681815084,0.2629381825605968,0.5653655539987261,0.43463444600127393
811,0.2532230998464928,0.2630136780928097,0.5659452281885039,0.43405477181149604
617,0.2533058360422367,0.2630641637194628,0.5663327119390075,0.43366728806099253
657,0.25338223511968994,0.263110797062592,0.5666905166555577,0.43330948334444225
2896,0.253390335087744,0.2631157420368554,0.5667284517572664,0.4332715482427335
1437,0.25353301720875177,0.2632028743391485,0.5673966841177319,0.432603315882268
1872,0.25357361826147895,0.2632276772981097,0.5675868336410896,0.4324131663589104
2270,0.2536294000696824,0.2632617605523403,0.5678480801736162,0.43215191982638385
2416,0.25367876338983103,0.2632919282748497,0.5680792665879362,0.4319207334120639
1361,0.25371314527583444,0.2633129437523676,0.5682402894875049,0.4317597105124952
2210,0.25372276708221253,0.26331882546343066,0.5682853519125838,0.4317146480874162
2019,0.253725399612128,0.2633204347405303,0.5682976810093688,0.43170231899063105
411,0.2537679582307483,0.2633464533177528,0.5684969985270645,0.4315030014729355
266,0.2537875585577495,0.26335843760713085,0.5685887940000036,0.4314112059999964
1532,0.2537937566187615,0.2633622274987259,0.5686178217780541,0.4313821782219459
2048,0.25392227740200346,0.2634408340920109,0.5692197314339248,0.4307802685660752
2288,0.2540260899342104,0.2635043573806594,0.5697059233474776,0.4302940766525223
2942,0.25402954736958777,0.26350647344273437,0.5697221157771041,0.4302778842228959
148,0.25404536360981606,0.26351615385725013,0.5697961889929126,0.4302038110070874
1960,0.25417503028206034,0.263595539609492,0.5704034652644983,0.4295965347355017
574,0.2541777965054923,0.26359723361105014,0.5704164204967339,0.4295835795032662
964,0.25418038769369017,0.2635988204397605,0.5704285559751922,0.4295714440248078
243,0.2542113728044379,0.26361779678678704,0.5705736705385867,0.42942632946141335
2976,0.2542586320721183,0.26364674440728303,0.5707950029085632,0.4292049970914368
590,0.25432442864731514,0.2636870555352041,0.5711031522439095,0.4288968477560905
2612,0.2543345431498207,0.26369325323402787,0.5711505221444724,0.4288494778555275
1620,0.2543478465544224,0.2637014053165087,0.5712128268354628,0.4287871731645371
2091,0.2544217275580496,0.26374668593298894,0.5715588384947978,0.4284411615052021
920,0.2544400264349508,0.2637579030681749,0.5716445388027214,0.4283554611972787
187,0.2544497853139237,0.26376388554707597,0.5716902431887054,0.4283097568112947
1979,0.2546120819574015,0.2638634114616206,0.5724503375046633,0.4275496624953367
800,0.25465073765373625,0.2638871257343211,0.5726313762152233,0.4273686237847768
1784,0.2546894666539092,0.2639108885488435,0.5728127582343668,0.42718724176563316
