,Return,Volatility,AAPL,COST,AXP
424,0.23244392438722467,0.21563495594546214,0.09119002735259439,0.6579552333183843,0.2508547393290213
576,0.2241740321384422,0.21580573909661502,0.029622293709400126,0.6946033741938986,0.2757743320967013
956,0.2551360646577059,0.215950163981222,0.20542358301342614,0.6688309099619547,0.12574550702461917
372,0.22543947919967666,0.21611320977676288,0.04332058065651101,0.6802825416508483,0.27639687769264065
608,0.25055646597171444,0.21639748842080536,0.198448303281238,0.6338831337479276,0.16766856297083446
115,0.24522005478905667,0.2166309800598998,0.17680540747489598,0.6206903545231423,0.2025042380019618
279,0.24113538749291197,0.21670198504724708,0.15549517889765424,0.620255941176441,0.22424887992590484
568,0.2577180612990036,0.21673131738587817,0.22087674956658018,0.6650669556014247,0.11405629483199513
163,0.26108358726617475,0.21692172450716787,0.18842888560428453,0.7672895401534813,0.044281574242234154
10,0.2607929932977894,0.21692466672535146,0.21792784399697512,0.7040798269901124,0.07799232901291261
0,0.2283888282572783,0.21703967348762643,0.07473862576510512,0.6479406130470649,0.27732076118783
345,0.23071562663563822,0.21745862929540263,0.09508931699537011,0.6314609528222992,0.2734497301823308
791,0.2379418047051424,0.21748447435716825,0.14303637883233156,0.6113555853040943,0.24560803586357421
187,0.2630495666977255,0.21781920940941515,0.19712762391833716,0.7706723864753389,0.032199989606323955
183,0.2617813359105067,0.21795593136673805,0.2410602937483165,0.6675668430820766,0.09137286316960688
900,0.25846729946315,0.21807782410182952,0.12797026987761514,0.8623632654001793,0.009666464722205594
765,0.24546671739271844,0.21814318122718332,0.19097566899720195,0.5944726193728727,0.21455171162992556
937,0.23619859800026696,0.2182330417311541,0.13786313078296175,0.603182385872095,0.2589544833449432
392,0.2515486007588722,0.21828481779337233,0.22095204824475242,0.5986915504992312,0.18035640125601643
453,0.26370566016635194,0.21829788966304775,0.24188862085510882,0.6865349024152939,0.07157647672959735
330,0.253412954118222,0.21831531341711272,0.07596846882378754,0.9140404048475125,0.009991126328699982
