,Return,Volatility,BND,VUG,VOO,VGIT
750,0.05078048779733463,0.04994532622635096,0.40246314623096135,0.03646642513316601,0.15622379105040643,0.4048466375854662
2594,0.05371287511829261,0.05008663214128377,0.3313854912451876,0.11106982683322451,0.08576406114899088,0.4717806207725969
1884,0.053851272706764174,0.050103812596605526,0.21664412560757582,0.040828830180926666,0.18452637026354646,0.5580006739479509
1856,0.04931858889917155,0.05024915971444895,0.451213935779112,0.005521697130282199,0.18256170969614846,0.3607026573944573
2256,0.05113355155263314,0.05038866990336147,0.3591148449577135,0.008350497878441736,0.19830918065814218,0.4342254765057026
1448,0.04506934668460436,0.050396254318463625,0.6600970686605082,0.03150399579469458,0.10261261057814675,0.2057863249666504
1038,0.0586634005653768,0.050604230440927996,0.028274777896742403,0.1553508092434647,0.0820243836561927,0.7343500292036002
1235,0.055861650001099425,0.05068395811308944,0.05398162318017465,0.03362345721546094,0.2179238561814365,0.6944710634229279
2912,0.05466987262101785,0.05080674019937955,0.25492440632445373,0.07759579494189776,0.14155047126557344,0.5259293274680751
366,0.05270325320996875,0.050947042918790986,0.4423614597305029,0.12806107851087367,0.05015146341909146,0.37942599833953206
1384,0.05084035687045192,0.050988154590499074,0.5242407986462652,0.1178383071527686,0.0441765087701216,0.3137443854308446
2960,0.05695997762234347,0.05108047131584579,0.225230458425214,0.16571798440659088,0.04590222711858101,0.563149330049614
929,0.0591488151127124,0.051097131431862154,0.05507858919473811,0.1798552433622459,0.05279957666809726,0.7122665907749187
1012,0.05308272779026404,0.05116082860609809,0.2528602414256974,0.0027236294984561383,0.22700372185912718,0.5174124072167192
2284,0.05404840401215586,0.05120840531899585,0.4149787458475091,0.16690299227281857,0.011500399115772515,0.4066178627638998
1078,0.05365207543164617,0.05133702893957473,0.4193598223733021,0.14002797553564877,0.04352815232731763,0.3970840497637315
1117,0.05584081720381463,0.05134883510095101,0.25068789572739464,0.11270170633523745,0.10546892099356601,0.5311414769438019
1536,0.050883568343335045,0.05147645216690194,0.42430968220343834,0.011768877708796992,0.1891613472651613,0.37476009282260336
2823,0.05317598835768098,0.05176029419083993,0.4134210863564385,0.09200409893942339,0.10332707601438178,0.39124773868975626
1745,0.05050148486692762,0.051869535070712985,0.5594485944956381,0.10154629868555994,0.06152576609985788,0.27747934071894415
