,Return,Volatility,AAPL,AMZN,GOOGL
1270,0.19541650537857322,0.3079855544001566,0.19112334500395559,0.33553600729676175,0.47334064769928275
429,0.19212782611453014,0.3080009606144443,0.13355887503147865,0.32091641966065787,0.5455247053078635
1496,0.19085065394923012,0.3080045820521487,0.13225679438722082,0.3292907139121238,0.5384524917006553
2922,0.18935661767926099,0.30801509478248196,0.14862806141766888,0.35103046863395,0.500341469948381
652,0.1912378424347072,0.30801875975323534,0.1306841101321806,0.3254388148695241,0.5438770749982953
1213,0.19303560147906168,0.3080231431918832,0.13324772743776453,0.31413884744313153,0.552613425119104
329,0.20421258564386616,0.3080364465014066,0.21813402889391914,0.2899036551849495,0.49196231592113127
442,0.20006530543061046,0.30804310745876623,0.21378645641727353,0.3170172717802587,0.4691962718024678
2492,0.20550605946924627,0.3080539771716149,0.20687617732653335,0.2730283523208692,0.5200954703525974
14,0.18835161925757607,0.3080660265734982,0.1456678947719927,0.35632826647973764,0.49800383874826964
2773,0.19714713987039206,0.30807380832113107,0.20556459265365362,0.3326494751749023,0.4617859321714441
358,0.18797927655179494,0.30808210468176067,0.1278404189098353,0.34712423753251065,0.525035343557654
1885,0.2025167752427951,0.30808723822665024,0.1721755625606262,0.2715022339671565,0.5563222034722174
597,0.20267382792007832,0.3080882928853782,0.17317143871409152,0.2710302765153597,0.5557982847705487
1069,0.2025075100143984,0.3080925146050588,0.2232908536043216,0.30568578722696327,0.4710233591687151
1368,0.2048955474500486,0.30809432389199864,0.22482644922391176,0.28942761625881236,0.4857459345172759
724,0.18749887746879584,0.3080968840543116,0.1292327700874974,0.35153037355212097,0.5192368563603816
1665,0.1873721991132249,0.30810174660776823,0.13642297317683735,0.35724623499305785,0.5063307918301047
2103,0.19010828221828602,0.30810234590926733,0.1678280059240094,0.3584052514011916,0.473766742674799
2684,0.2056066275116318,0.30810329025779565,0.22458715712366986,0.2841215585959544,0.49129128428037583
850,0.20619591025268572,0.30810689439703975,0.20398536124782504,0.26610619989031115,0.5299084388618638
963,0.2006148752976027,0.3081130341839318,0.15852843076680947,0.276158302585273,0.5653132666479175
