,Return,Volatility,VYM,VTI,VUG,VGIT,FB,AAPL,MSFT,GOOGL
590,0.20539926683736465,0.1792604709059459,0.13327311584281595,0.24300489863317948,0.014477231726196317,0.24638456522691132,0.05143162966974615,0.06867922081578312,0.20221925021156587,0.040530087873801746
128,0.21852619621490138,0.17988767486889404,0.22280450258166654,0.23337763263712463,0.02703444711395165,0.22957507038481897,0.0008967438843669186,0.20889572798241632,0.03416567658891834,0.0432501988267367
2445,0.20607417990088145,0.18008918720286865,0.21882435154141058,0.07535160151387305,0.15598528791478922,0.22804687974485846,0.03491311652775,0.06675778307871709,0.14370403528139472,0.07641694439720687
1227,0.1661428118174285,0.18024611110031272,0.1462950084476619,0.279933483323594,0.08032544561476164,0.23200250861817556,0.15197501073671843,0.004985795778171139,0.05540062430376144,0.049082123177155886
2013,0.21813534498840845,0.1802699008298616,0.03206016979223338,0.07457935975272563,0.13183201240352946,0.3022013843083706,0.09029679868854146,0.1511101854695245,0.03418829580223811,0.18373179378283677
581,0.18690771666699624,0.18033982851381103,0.21527603608171342,0.18326385215297325,0.025615069905504165,0.21921200164142446,0.05927197555709185,0.008557811363224262,0.04622415044085136,0.24257910285721726
1580,0.1959767330461218,0.1805641409422307,0.18076749224098446,0.165116012040984,0.1572984862353253,0.22394303551175787,0.06383756954934501,0.05808239326646161,0.11468096246750244,0.036274048687639386
442,0.193794187739835,0.18060791348033906,0.10692657919540076,0.09568414534975651,0.001835748425671742,0.2842065520773782,0.1182051828880361,0.011617181598576005,0.13121562439426562,0.25030898607091506
1571,0.22868811664569333,0.18072374961033533,0.15182272253359927,0.08838267330156364,0.12114235862832927,0.26720831953880925,0.03408247430512656,0.2036669062282315,0.12062585293209302,0.013068692532247347
2509,0.20017595344834477,0.1808738892413569,0.02610574232962752,0.26252780605428705,0.23367389642385855,0.2348705950575597,0.030865646157450053,0.03672588807025454,0.039430716555260474,0.13579970935170213
511,0.18679937706184468,0.18107003662579485,0.09365355785675973,0.25460847829342875,0.25621615551790056,0.22438778806069737,0.08141599898647696,0.06419786030382522,0.004269499127044263,0.021250661853867148
2226,0.19985622040589554,0.18132376780328244,0.17384859932956312,0.17440556036432725,0.2004989195989254,0.2153822556830099,0.006179110051821379,0.011434004774024302,0.18352424774776765,0.034727302450561055
546,0.20900595385209542,0.18138969764270443,0.12299345953225645,0.034035830209368005,0.022293704886163678,0.3058298730600607,0.15889514536614763,0.19265900970390926,0.006353255021623403,0.15693972222047087
664,0.19144082010964575,0.18141040035603032,0.003333843619718381,0.28496410996844074,0.08777929241355913,0.28863345439843513,0.1667684516534512,0.14150303076562576,0.015801558143219478,0.011216259037550282
217,0.18798724568105252,0.1814174592740074,0.25680752868027257,0.0031971136325192203,0.11884546188909946,0.24627189824645035,0.15141942250978427,0.07485747452656817,0.11799952311130472,0.03060157740400122
466,0.20045330998284114,0.18144646502619155,0.2389967955586792,0.044954686527933274,0.262772475892096,0.21135888608097939,0.013403505618268427,0.019185094738744572,0.1645347413850337,0.04479381419826552
2446,0.20599423010340107,0.18148209265707854,0.20619487395411457,0.14195969801520697,0.1517067174819033,0.21623820721971726,0.04070438248700068,0.11290924806981535,0.03981982658922065,0.09046704618302132
2466,0.20401050344075888,0.1819728031452606,0.12633057153334262,0.05122202236280203,0.051376672723801434,0.27580384128675695,0.11552477691725589,0.050995417871393584,0.1733998552702595,0.1553468420343879
741,0.2073015208266592,0.1821271954249804,0.051426435881280666,0.2647550908727826,0.12870677434506822,0.24641234136440074,0.06442897300359686,0.09019088520541962,0.127373932482885,0.026705566844566323
293,0.16874112315558396,0.18220647388035216,0.13538969606660817,0.21545123146640954,0.08004375450089042,0.2573819266856391,0.2032494230165326,0.06941860523471557,0.002126195179300548,0.03693916784990411
1270,0.1845822766910017,0.18222968053995398,0.14622729681454535,0.002702019651969287,0.33764417153557014,0.24239226540067563,0.11828083867843206,0.009734665378021241,0.054206620899318,0.08881212164146826
1433,0.21328136694093236,0.18239097005399998,0.05179990007875729,0.11746130577523184,0.003374756867725385,0.28728187384855736,0.05545889602079378,0.015423465336552087,0.21011664128646668,0.25908316078591553
2125,0.219118339360082,0.18240945272932627,0.0974597992301968,0.09118246401118202,0.050939710474496656,0.27132868294534834,0.07336119851859646,0.10447255202442236,0.13943414674937363,0.17182144604638372
62,0.19002659525293353,0.18246136702744928,0.035842377837621016,0.11785605074832688,0.18626492518793544,0.2788962069916325,0.14367596264671711,0.03593337303800452,0.06638230886507084,0.13514879468469174
2116,0.21806807332019826,0.18246635634544864,0.02906303200264551,0.20202997138744985,0.048349711103757895,0.26618997889506574,0.04477635754961931,0.07691724234785878,0.12061258306788683,0.21206112364571614
2581,0.19828403064849756,0.18271332299797513,0.25150527933359584,0.006565169809441345,0.17543582676044936,0.21593227467316714,0.06154485073908845,0.025549224566962785,0.10967262108493363,0.15379475303236137
2072,0.21840079987729746,0.18272252227224248,0.166837361260536,0.09909327451907288,0.1335676113884052,0.24265344955486906,0.055263785346967416,0.14781824162380824,0.11482917459503658,0.03993710171130455
650,0.18457128032564976,0.18278508181432843,0.12318325660449678,0.11490631929367698,0.07309999920847698,0.28325759248573884,0.20311260413738072,0.10742205738853548,0.05934101843149687,0.03567715245019737
53,0.2111763616073871,0.18313759690491854,0.06839766430093934,0.14125862648872078,0.2803920139281032,0.2566284307639243,0.07765345887983437,0.16578343246729346,0.009687960989642913,0.0001984121815416102
1677,0.21146992983893229,0.18328033480393202,0.2810878733550818,0.041043744523293964,0.1853248529570603,0.20917699727847763,0.030505000200031517,0.12162122817057425,0.11055532787876252,0.02068497563671803
2785,0.2014272639281265,0.18342934859547141,0.10715741532850455,0.16395675226593104,0.019675215912969276,0.25309724963055885,0.10668460421307441,0.05448713459222318,0.10757637403249178,0.18736525402424686
1544,0.23152450918841136,0.18354048550566096,0.04321596559328176,0.11875167234315412,0.0013650536222417813,0.2937034627649628,0.07124219520654207,0.144323442107744,0.19762150811654147,0.12977670024553206
2392,0.21405059058876522,0.18393043064197626,0.05871815315035247,0.18198313689439835,0.20856558028606464,0.24611311706781336,0.058403996728367026,0.11257278298230684,0.10145416748819448,0.03218906540250272
446,0.2073695027831431,0.18394799047688118,0.09857587454895737,0.07444486857149939,0.20962498974420368,0.24432200608693752,0.05699189368016914,0.02347736218010096,0.13934882222882616,0.15321418295930572
