,Return,Volatility,AAPL,COST,AXP,CMCSA
218,0.20168242970737837,0.21845735783264633,0.24052498884068185,0.3638600818881657,0.02659225864059634,0.36902267063055605
286,0.25059670188395844,0.21850794905211296,0.27105659821278316,0.536988382386879,0.12599620145961252,0.06595881794072533
882,0.19426264802227805,0.21851950896791913,0.19158317112798776,0.34839514572822433,0.1278535865064104,0.33216809663737756
26,0.2111903714601402,0.21862348924686462,0.2127287047168829,0.3879349252851523,0.17074665819606935,0.22858971180189552
185,0.16712783275775767,0.21874883142119136,0.020043559850294462,0.4133697605412697,0.227252342906808,0.33933433670162777
547,0.24367197563145715,0.21883937642906381,0.3067790896810072,0.48672497503142303,0.03938414589166102,0.16711178939590865
621,0.2184555409461743,0.21888542688465143,0.2625272009624076,0.3829163415945052,0.10682493370463957,0.2477315237384475
564,0.17804178065209786,0.21889345179951394,0.05518231793766891,0.41200806826881337,0.24249315960362694,0.2903164541898909
232,0.21906284443199345,0.2189874618652742,0.2632660112190713,0.38358742484690966,0.10994893694925095,0.2431976269847682
292,0.19348149336320278,0.2190282582654268,0.2121950383569368,0.3374329347646328,0.07709677109887961,0.3732752557795508
647,0.20738087503763125,0.21923206086882932,0.08485810487432713,0.5028756758084579,0.29308480886652205,0.11918141045069286
797,0.16809595545621495,0.2192463176866871,0.027620169340405468,0.40552255270485266,0.23042701653768496,0.3364302614170569
887,0.22733787595766755,0.21937366669273856,0.18238368200111651,0.48744404569869015,0.2434500254560142,0.08672224684417902
536,0.25281029483230044,0.21943602808243864,0.303549169382821,0.5260942276719031,0.07153152317658623,0.09882507976868972
186,0.1625250960306597,0.21949282643465232,0.05410294463680565,0.363854777223004,0.17030047615076097,0.41174180198942945
917,0.1659153547082524,0.21961961203669564,0.06357129376147456,0.36227063103687884,0.18191894547517806,0.3922391297264685
141,0.15779767633720915,0.21991010171298786,0.008748913746692094,0.3913556704037236,0.20293570615679846,0.39695970969278593
290,0.19883048114199334,0.21997295174589873,0.20383224401340644,0.34191250019635805,0.1539554039995661,0.30029985179066937
707,0.1663764696561244,0.22006621076553715,0.028514331541361692,0.3944771757129241,0.23089718406834345,0.34611130867737067
180,0.17399119197531732,0.22015878800679572,0.14138940855495705,0.3217604575731728,0.11192211625541909,0.4249280176164511
43,0.22983345055007856,0.22029548631859752,0.19153732805683313,0.48545871230896814,0.24685330594714966,0.07615065368704911
437,0.22140707513402577,0.22029709532589295,0.30025621879006437,0.3827791925626138,0.022349474472284064,0.2946151141750377
426,0.18808001213827025,0.22039996551515234,0.09468418325793873,0.3998127903633888,0.256387379070219,0.24911564730845348
878,0.17852907425907658,0.2204159423165996,0.165028165135727,0.31559501767713105,0.10148200778145189,0.41789480940569007
67,0.1916780226633672,0.2204616444121547,0.14058346579829195,0.3664431694744223,0.22136723139150125,0.2716061333357845
173,0.2102745558390121,0.22059995385613132,0.2598412442906098,0.3421803721813265,0.10664976781815735,0.29132861570990626
483,0.18222901287747761,0.2206319197559589,0.02960457929728699,0.4496241110756473,0.2925626907790319,0.22820861884803387
270,0.20739529025266323,0.22063603336975968,0.271971210143072,0.34241246291648664,0.03607399973419945,0.34954232720624195
386,0.21638714005502724,0.22071123072461893,0.21388610557101967,0.3954536302796783,0.20998421087208155,0.18067605327722036
349,0.18033238599474666,0.22076294185252132,0.12808168029213893,0.3383181736615854,0.19071150992163435,0.34288863612464127
257,0.19291059694962515,0.22088954286482154,0.17695865986326578,0.3364677467928705,0.18268594084824907,0.3038876524956146
