,Return,Volatility,VGSH,AAPL,VOO,AMZN
610,0.1350559191557961,0.17015739351216155,0.23121316447700405,0.03329148937097426,0.5038700351515984,0.23162531100042336
2241,0.17849947408937455,0.17015818933986976,0.37645136157099596,0.37817345030486715,0.14801609549218311,0.09735909263195386
1767,0.17075361639284903,0.17016658479872215,0.3649827875089881,0.28055247302204006,0.11295423972314404,0.24151049974582792
2375,0.14919795613928283,0.1701824403225999,0.2962087358064692,0.11325618459444314,0.28749319794312284,0.30304188165596485
1138,0.1664151655488603,0.17019915591477763,0.3130202801589897,0.26655065748679874,0.2799889348230984,0.140440127531113
1159,0.1691972791430207,0.1702973750715251,0.3222391317910279,0.3006122322961028,0.2776972330734572,0.09945140283941195
102,0.13570711652131437,0.1703460543001714,0.2159793408747066,0.0913387974551588,0.6331314849148273,0.05955037675530716
1945,0.13857270994221504,0.17036742480685346,0.29190891836936694,0.0392112339699371,0.3112342142703266,0.35764563339036937
819,0.15054948608262828,0.17038164630643146,0.33335740691968285,0.12108763144454512,0.18712452545146283,0.35843043618430914
195,0.16333593749732067,0.17044938056980047,0.2992897273667383,0.28497703676415326,0.3867158180381053,0.02901741783100305
35,0.17554255647477635,0.17046664649278875,0.3592701044749331,0.3373614560776492,0.16173724685702304,0.1416311925903947
1834,0.18002247062178198,0.17055939872184847,0.39294350738274286,0.4310767143437706,0.17518728222171734,0.0007924960517691035
2203,0.16229736610565082,0.17057352065613798,0.2909911834636809,0.26452798950608924,0.38703311321428907,0.0574477138159409
2748,0.16833174033008647,0.17058016786033736,0.33071725282935427,0.26541673869386845,0.20739987484464503,0.19646613363213228
654,0.16073476114098265,0.17058042433755827,0.28372596163982694,0.2452640302905428,0.3934935386818288,0.07751646938780156
179,0.14275161880065226,0.17059267896664945,0.3086791079974985,0.06597358735133196,0.2589022177879152,0.3664450868632544
625,0.16685632553073632,0.17062199020632599,0.30988099506240413,0.2977279480327831,0.3351860618336953,0.05720499507111743
2296,0.16456976701598322,0.1706303406950675,0.384761877792583,0.22686342038234988,0.0511994254660336,0.33717527635903327
1209,0.16207109291334104,0.1706361051215186,0.3530990392124803,0.2049543224874501,0.12843856297767298,0.31350807532239666
509,0.14076433742327957,0.17065922868457076,0.3080182201855295,0.052610514720123465,0.26379487227247855,0.3755763928218686
1853,0.14559343415757253,0.1707651904032406,0.2857717371257904,0.08546572346088636,0.314242271220312,0.31452026819301115
408,0.1784448359720951,0.17078052404102442,0.3737702424424301,0.3622764052221179,0.1287327079492773,0.13522064438617476
2524,0.16093693104441004,0.17088332859586744,0.29452154555529114,0.20862775717848162,0.3008906817417633,0.19596001552446402
1108,0.15184853560641587,0.1708857808983854,0.3657606771664113,0.132292621486563,0.10542466009634795,0.3965220412506777
1863,0.17398626494223918,0.1709617640716643,0.3415688321404506,0.3444025745507849,0.2396625920397867,0.07436600126897806
1099,0.14129625254379288,0.1710115320087925,0.3340485763881958,0.057411714089495955,0.1976962818429524,0.4108434276793558
698,0.1734450060121135,0.17101749477645045,0.33911672650635966,0.3243573971459315,0.2190827177858726,0.11744315856183626
360,0.1424293009418568,0.17108259903912842,0.3619029626461707,0.06955372606592994,0.13150472665224178,0.43703858463565753
1558,0.14665325538130197,0.17117218186967242,0.2350230051975969,0.13485355455246514,0.5153768497172915,0.11474659053264652
2177,0.16534402344802676,0.17118304147615773,0.31947744632542463,0.23452230036030378,0.22295406525240388,0.2230461880618677
1766,0.1536003762009504,0.1712381290858702,0.2680148656405603,0.1530326895514898,0.37058889622845675,0.20836354857949319
1859,0.14410310486839367,0.17136833762933248,0.2299151455406029,0.1055244393254742,0.5120390223614422,0.1525213927724807
86,0.17655002663458694,0.17139990182881804,0.3534749572199531,0.34815895269935776,0.1819252735550831,0.11644081652560608
