,Return,Volatility,VGSH,VO,VOO,AMZN
2090,0.13158137321916846,0.17668718034215977,0.2874027483993569,0.18122479990501766,0.09520321524887794,0.4361692364467476
791,0.13321909763621528,0.17671617565712294,0.29621421580379864,0.11533560512230591,0.1427945886124819,0.44565559046141356
1441,0.13500601931458386,0.17671798542259196,0.22095519626475774,0.0363590631749836,0.4240788393843686,0.3186069011758901
2766,0.12242441777742874,0.17671824987414483,0.191127250078644,0.3577020189747694,0.2176664340142451,0.23350429693234157
1166,0.10451466624895205,0.17673016110078132,0.17795551488799605,0.44830801981244367,0.3583728360888006,0.015363629210759682
940,0.13535008331688256,0.1767938370985146,0.26516544099847356,0.05264853879281318,0.2826109675382796,0.39957505267043364
351,0.1157394900207405,0.17683449725036016,0.16725091291574934,0.28319094710199605,0.4699165642284251,0.07964157575382952
1169,0.13251840300750722,0.1768525272726707,0.2291579434108593,0.14155944185016509,0.2888415598043017,0.34044105493467397
562,0.11756764385461492,0.17686782943053228,0.16454184170196504,0.207987616308574,0.5577853636745802,0.06968517831488083
1512,0.11739465522481424,0.17692634444748073,0.1708279778280898,0.33098488760213607,0.3726766791157186,0.12551045545405548
1881,0.1301798346925221,0.17693846513908115,0.2307000291071732,0.22669066429019968,0.19681162859986173,0.34579767800276534
2659,0.12598033109940635,0.17695954742517223,0.1950849209189812,0.2820279935374755,0.2665014384231356,0.2563856471204078
992,0.13336092150554527,0.1769841801993319,0.3584662833981579,0.030530637891314286,0.09792406869750622,0.5130790100130216
573,0.12977194102308534,0.17704674393435532,0.2066138577091572,0.20124049198351615,0.29980649966310724,0.29233915064421945
586,0.11974157920604024,0.17709307301731453,0.17017359783517777,0.2912555949442121,0.39914464205499406,0.13942616516561604
2755,0.13210780620070223,0.17717082158010497,0.2834681436031325,0.1749796542237707,0.10722714386007312,0.43432505831302354
1406,0.11916830133935763,0.17724249369793177,0.1643885269872929,0.23004606027380756,0.5067013287559332,0.09886408398296642
2414,0.1318648948643947,0.17725556142616736,0.35550506268410687,0.09896407345942872,0.029822449408676933,0.5157084144477875
2095,0.12791687704702068,0.17728958552326465,0.195359144519074,0.23578509559421612,0.30496032636707143,0.2638954335196385
1465,0.1319548582201497,0.17734499504855042,0.27518062067754345,0.1882196580607781,0.11222980421205041,0.424369917049628
321,0.12470574801672335,0.17739019675902287,0.1949239606292898,0.3343111851382071,0.21074697179379068,0.26001788243871243
1429,0.12538215951916723,0.17751569615132604,0.18634135628715218,0.2842298344844759,0.29382275582471057,0.23560605340366128
2578,0.13299950664404336,0.17764219101985854,0.2375376660379654,0.15386146822917562,0.24380615112192475,0.36479471461093416
1390,0.11019774123554188,0.17765882561017615,0.17153011599737994,0.4709655134347978,0.2696382876081193,0.08786608295970283
1479,0.12551615294555682,0.17766804183213478,0.18841842578413676,0.29544938040277363,0.27110289111603614,0.24502930269705347
