,Return,Volatility,AAPL,AMZN,GOOGL
709,0.18376934812272225,0.30909296351280674,0.21881332274760495,0.3523417135870768,0.4288449636653183
2969,0.18919793341219351,0.3090939681171885,0.24281969594479558,0.32716185321128627,0.43001845084391815
126,0.20336502838442808,0.30909645846647726,0.2592610575636667,0.23927104396747406,0.5014678984688593
472,0.1864097501949738,0.309099224592816,0.09864156453176672,0.27681232409978007,0.6245461113684533
890,0.20029149766934284,0.309113780243707,0.26726100682462534,0.263890496367294,0.4688484968080808
963,0.17889684100764944,0.30911479326277014,0.07767636036347561,0.31754369817233685,0.6047799414641876
2547,0.17259641115114946,0.30911759497256747,0.13737262397796393,0.3887921278836394,0.4738352481383966
969,0.1717774021742275,0.30912748600488266,0.126770695207253,0.38924082148808126,0.4839884833046658
1248,0.1901118671549042,0.309131501561477,0.24759876234715722,0.32327662861419676,0.4291246090386461
1985,0.1843093104999796,0.3091401177444654,0.08981115432756862,0.286774881245181,0.6234139644272503
187,0.19496782192387244,0.3091419608905911,0.26223336673800873,0.2974701570722224,0.44029647618976886
1072,0.20462975488600035,0.3091694907804332,0.25822275218657087,0.23022203052954365,0.5115552172838855
1725,0.19012290894816156,0.309170223489864,0.24909882173760878,0.3239219487038339,0.4269792295585573
1801,0.1770634656109733,0.3091724778030979,0.18148291946747852,0.3797621932771352,0.4387548872553863
1091,0.17306336422213184,0.30917603099366714,0.14736495124046167,0.3904310565646634,0.46220399219487485
675,0.17149538499042613,0.30919343901290763,0.1297757330685239,0.39258981184793057,0.4776344550835455
2406,0.17106437515842338,0.3091998461421479,0.08169240662581563,0.37242562177139443,0.54588197160279
52,0.17024475349941695,0.309210644008847,0.09253479284652318,0.3831709259360725,0.5242942812174043
817,0.20564619699929315,0.30921081718674004,0.24733797771267227,0.218125701864915,0.5345363204224127
381,0.1888879099345675,0.30921584930885576,0.2462031900676637,0.33088183563447227,0.42291497429786395
216,0.1799349297735126,0.30921720539880426,0.07519065336368114,0.30933225697371913,0.6154770896625996
2712,0.20268653801779404,0.3092196405230238,0.2712445702858972,0.24960987421439376,0.47914555549970905
1515,0.1978793867053116,0.3092250038756788,0.15242362192080106,0.2250808471621547,0.6224955309170442
778,0.18406460846475645,0.30923131370847656,0.22558689512819902,0.353596554597245,0.42081655027455594
858,0.20202221600704745,0.30923197285873566,0.2729273776262648,0.25490896097934695,0.4721636613943883
2301,0.17342708902404458,0.3092340910360221,0.15478399681745877,0.3915328204563024,0.45368318272623887
1013,0.17040074374294548,0.30924145758085514,0.08291909547276102,0.3775011197046214,0.5395797848226176
2405,0.194126027918967,0.3092433048547293,0.26418977825697,0.30410043068232573,0.43170979106070434
315,0.18113220076234124,0.30924600385704776,0.2105831238972465,0.3662209665188873,0.42319590958386616
1796,0.16982857242481783,0.30926058923035643,0.08954915111468839,0.38455168052917654,0.5258991683561351
2896,0.20236588661812205,0.30926159401029213,0.27427725860592156,0.2532333371061346,0.47248940428794384
1611,0.20546223408819755,0.30926687055227103,0.26277693946349284,0.2267795768504187,0.5104434836860885
2290,0.17169826483798153,0.30926700872367613,0.138833718077099,0.3955656589438198,0.4656006229790812
887,0.20319550893069951,0.3092743207013113,0.2737776288628282,0.2473845555712527,0.47883781556591914
1901,0.1956064165387213,0.30927486900614976,0.2689715160432906,0.29638675407364734,0.434641729883062
2477,0.19234159590563046,0.3092759916973499,0.26032832353672125,0.31431140999486634,0.4253602664684125
2660,0.18229634463948016,0.3092776636921901,0.21819239041381983,0.36200249099511944,0.4198051185910606
1068,0.1702008090099451,0.3092827878947662,0.11907287597150337,0.3962053156878226,0.4847218083406741
